start_time	end_time	dl_time	width	height	ids_id
1681938660.4024234	1681938661.2124875	0.8100640773773193	344.0	438.0	55838884
1681938660.4226325	1681938661.280058	0.8574254512786865	285.0	423.0	55838829
1681938660.5227284	1681938661.2842493	0.7615208625793457	294.0	426.0	55838865
1681938660.5500047	1681938661.2763228	0.7263181209564209	313.0	407.0	55839137
1681938660.867664	1681938661.4619787	0.5943145751953125	233.0	158.0	55839093
1681938660.8695803	1681938661.5147457	0.6451654434204102	234.0	159.0	55838998
1681938660.871017	1681938661.4533725	0.5823554992675781	269.0	85.0	55839131
1681938660.9574072	1681938661.7382205	0.7808132171630859	342.0	428.0	55841110
1681938660.9817684	1681938661.7289746	0.7472062110900879	298.0	446.0	55841069
1681938661.0080838	1681938661.7738035	0.7657196521759033	330.0	432.0	55841176
1681938661.037802	1681938661.8716693	0.8338673114776611	348.0	442.0	55841314
1681938661.075061	1681938661.9567318	0.8816707134246826	356.0	442.0	55841105
1681938661.212565	1681938661.9105318	0.6979668140411377	318.0	420.0	55841163
1681938661.2764323	1681938661.9993322	0.7228999137878418	315.0	418.0	55841243
1681938661.280128	1681938661.9839191	0.7037911415100098	315.0	418.0	55841227
1681938661.2843072	1681938662.0520427	0.767735481262207	206.0	311.0	55845524
1681938661.4534216	1681938662.1446161	0.6911945343017578	234.0	340.0	55845505
1681938661.4620662	1681938662.1576169	0.6955506801605225	235.0	340.0	55845506
1681938661.5148077	1681938662.2542756	0.7394678592681885	229.0	341.0	55845632
1681938661.7290218	1681938662.4541557	0.7251338958740234	236.0	350.0	55845545
1681938661.7382753	1681938662.5226896	0.7844142913818359	237.0	326.0	55845527
1681938661.773862	1681938662.5096488	0.7357869148254395	235.0	342.0	55845554
1681938661.87174	1681938662.6152952	0.7435550689697266	236.0	341.0	55845598
1681938661.9105814	1681938662.7528112	0.8422298431396484	296.0	387.0	55848742
1681938661.9568129	1681938662.7792985	0.8224856853485107	299.0	376.0	55848869
1681938661.9840045	1681938662.7659678	0.7819633483886719	296.0	388.0	55848705
1681938661.9993904	1681938663.137163	1.137772560119629	228.0	91.0	55856980
1681938662.052104	1681938663.1351576	1.0830535888671875	224.0	95.0	55857008
1681938662.1446717	1681938663.1370053	0.9923336505889893	228.0	108.0	55856970
1681938662.1576862	1681938663.1993337	1.0416474342346191	258.0	146.0	55856976
1681938662.254325	1681938663.2104673	0.9561424255371094	262.0	247.0	55857014
1681938662.4542212	1681938663.1867075	0.7324862480163574	208.0	119.0	55856983
1681938662.5096967	1681938663.232476	0.7227792739868164	239.0	159.0	55857095
1681938662.5227358	1681938663.2190635	0.6963276863098145	241.0	162.0	55857089
1681938662.6153512	1681938663.3885937	0.7732424736022949	241.0	161.0	55857105
1681938662.752867	1681938663.3721457	0.6192786693572998	243.0	161.0	55857098
1681938662.7660146	1681938663.4761214	0.7101068496704102	346.0	527.0	55857136
1681938662.779348	1681938663.4088204	0.6294724941253662	241.0	160.0	55857110
1681938663.1352143	1681938663.7588384	0.6236240863800049	297.0	386.0	55864789
1681938663.137052	1681938663.82828	0.691227912902832	297.0	386.0	55864884
1681938663.1372335	1681938663.813029	0.6757955551147461	297.0	386.0	55864840
1681938663.186761	1681938664.1423094	0.9555485248565674	360.0	314.0	55866059
1681938663.1994152	1681938664.2252321	1.0258169174194336	349.0	324.0	55866113
1681938663.210522	1681938664.1384573	0.9279353618621826	319.0	420.0	55866149
1681938663.2191117	1681938664.2100322	0.9909205436706543	372.0	298.0	55865984
1681938663.232533	1681938664.2169087	0.9843757152557373	313.0	421.0	55866146
1681938663.372198	1681938664.3108375	0.9386394023895264	391.0	332.0	55866140
1681938663.3886573	1681938664.2268016	0.8381443023681641	298.0	423.0	55867529
1681938663.4088793	1681938664.3110626	0.9021832942962646	304.0	423.0	55867511
1681938663.4761782	1681938664.3184772	0.8422989845275879	298.0	423.0	55867505
1681938663.7588904	1681938664.5097353	0.7508449554443359	296.0	419.0	55867556
1681938663.8130896	1681938664.4814155	0.6683259010314941	300.0	415.0	55867524
1681938663.8283367	1681938664.5762906	0.7479538917541504	294.0	407.0	55867510
1681938664.1385283	1681938665.0323575	0.8938291072845459	295.0	386.0	55870161
1681938664.142369	1681938665.0705383	0.9281692504882812	311.0	376.0	55870163
1681938664.2100797	1681938665.0967617	0.8866820335388184	297.0	388.0	55870185
1681938664.2169595	1681938664.979013	0.7620534896850586	232.0	344.0	55874125
1681938664.2252977	1681938664.987067	0.7617692947387695	232.0	347.0	55874113
1681938664.2268715	1681938665.0471091	0.8202376365661621	232.0	351.0	55874009
1681938664.3109033	1681938665.0897572	0.7788538932800293	236.0	347.0	55874138
1681938664.311126	1681938665.063589	0.7524631023406982	232.0	351.0	55874013
1681938664.318538	1681938665.1047142	0.7861762046813965	236.0	347.0	55874097
1681938664.481491	1681938665.2104461	0.7289550304412842	325.0	285.0	55876048
1681938664.5098097	1681938665.2265334	0.7167236804962158	329.0	287.0	55876042
1681938664.5763402	1681938665.3381023	0.7617621421813965	327.0	286.0	55876047
1681938664.9790804	1681938665.7372882	0.7582077980041504	384.0	585.0	55875992
1681938664.9871173	1681938665.6807723	0.6936550140380859	373.0	578.0	55876060
1681938665.0324178	1681938665.5331173	0.500699520111084	331.0	285.0	55876018
1681938665.0471573	1681938665.5962098	0.5490524768829346	330.0	287.0	55876005
1681938665.0636501	1681938665.682139	0.6184887886047363	320.0	285.0	55876000
1681938665.070588	1681938666.3844848	1.313896656036377	290.0	483.0	55878555
1681938665.0898032	1681938666.3362205	1.2464172840118408	271.0	121.0	55878549
1681938665.0968213	1681938666.2272027	1.1303813457489014	273.0	115.0	55878547
1681938665.1047816	1681938666.225489	1.1207072734832764	254.0	150.0	55878562
1681938665.2105432	1681938666.3180094	1.107466220855713	294.0	483.0	55878554
1681938665.2266092	1681938666.3073723	1.0807631015777588	291.0	348.0	55878556
1681938665.338165	1681938666.2288787	0.8907136917114258	272.0	114.0	55878546
1681938665.5331635	1681938666.4423082	0.9091446399688721	299.0	447.0	55878525
1681938665.5962586	1681938666.3343656	0.7381069660186768	232.0	347.0	55878735
1681938665.6808248	1681938666.3573093	0.6764845848083496	233.0	350.0	55878654
1681938665.6821878	1681938666.351545	0.6693572998046875	232.0	343.0	55878705
1681938665.7373621	1681938666.4325614	0.6951992511749268	235.0	350.0	55878604
1681938666.2255418	1681938666.9731238	0.747581958770752	229.0	341.0	55878793
1681938666.2272372	1681938666.7242262	0.49698901176452637	235.0	340.0	55878651
1681938666.2289312	1681938666.7962313	0.5673000812530518	230.0	349.0	55878614
1681938666.3074193	1681938666.8774536	0.5700342655181885	231.0	340.0	55878712
1681938666.3180652	1681938667.1987026	0.8806374073028564	337.0	454.0	55892304
1681938666.3344188	1681938667.0977046	0.7632858753204346	346.0	440.0	55892408
1681938666.336276	1681938667.2239268	0.887650728225708	337.0	454.0	55892292
1681938666.3516455	1681938667.5507314	1.1990859508514404	351.0	447.0	55892409
1681938666.3573754	1681938667.3877342	1.0303587913513184	335.0	452.0	55892305
1681938666.3845804	1681938667.2045465	0.8199660778045654	202.0	227.0	55892298
1681938666.432617	1681938667.1966841	0.7640671730041504	356.0	442.0	55892376
1681938666.4423723	1681938667.3794246	0.9370522499084473	343.0	442.0	55892240
1681938666.7242887	1681938667.5243382	0.8000495433807373	352.0	440.0	55892511
1681938666.7962759	1681938667.6273558	0.8310799598693848	352.0	440.0	55892543
1681938666.8775158	1681938667.5555294	0.6780135631561279	352.0	440.0	55892531
1681938666.9731812	1681938669.5705357	2.5973544120788574	360.0	444.0	55892410
1681938667.0977664	1681938667.9236872	0.825920820236206	356.0	444.0	55892591
1681938667.1967332	1681938667.9154692	0.718735933303833	357.0	443.0	55892414
1681938667.198758	1681938667.9842572	0.7854993343353271	354.0	439.0	55892548
1681938667.2045772	1681938668.1588874	0.9543101787567139	354.0	439.0	55892574
1681938667.2239866	1681938668.3414571	1.1174705028533936	285.0	438.0	55894055
1681938667.3794692	1681938668.2007651	0.821295976638794	283.0	438.0	55893978
1681938667.3878038	1681938668.2081254	0.8203215599060059	219.0	182.0	55893977
1681938667.52441	1681938668.112652	0.5882420539855957	219.0	184.0	55894054
1681938667.5508296	1681938668.272372	0.7215423583984375	376.0	264.0	55894210
1681938667.5555983	1681938668.36517	0.8095717430114746	376.0	264.0	55894211
1681938667.6274006	1681938668.390833	0.7634322643280029	376.0	264.0	55894209
1681938667.9156213	1681938668.7102945	0.7946732044219971	275.0	376.0	55894212
1681938667.9237394	1681938668.6933055	0.7695660591125488	376.0	280.0	55894120
1681938667.9843132	1681938668.8794358	0.8951225280761719	317.0	405.0	55894538
1681938668.1127021	1681938668.891273	0.7785708904266357	314.0	404.0	55894665
1681938668.1589668	1681938668.924465	0.765498161315918	317.0	407.0	55894512
1681938668.2008126	1681938669.1306074	0.9297947883605957	284.0	438.0	55894833
1681938668.2081766	1681938669.0681853	0.860008716583252	289.0	438.0	55894757
1681938668.2724276	1681938668.995592	0.7231645584106445	219.0	180.0	55894758
1681938668.3415112	1681938669.17936	0.8378486633300781	299.0	424.0	55897030
1681938668.3652253	1681938669.1952035	0.8299782276153564	296.0	423.0	55897076
1681938668.3909047	1681938669.2023618	0.8114571571350098	297.0	424.0	55897078
1681938668.6933737	1681938669.4597268	0.7663531303405762	323.0	438.0	55897153
1681938668.710356	1681938669.5984037	0.8880476951599121	364.0	440.0	55897154
1681938668.8795283	1681938669.6301327	0.7506043910980225	298.0	422.0	55896989
1681938668.8913271	1681938669.6933572	0.802030086517334	296.0	423.0	55897099
1681938668.9245265	1681938669.6581783	0.733651876449585	297.0	422.0	55897083
1681938668.9956477	1681938669.9002051	0.904557466506958	296.0	234.0	55897288
1681938669.068257	1681938669.8574142	0.7891571521759033	296.0	234.0	55897260
1681938669.1307108	1681938669.8960865	0.7653756141662598	296.0	234.0	55897326
1681938669.1794286	1681938669.898042	0.7186133861541748	296.0	234.0	55897279
1681938669.1952696	1681938669.8858316	0.6905620098114014	296.0	234.0	55897205
1681938669.2024148	1681938669.9973903	0.7949755191802979	296.0	234.0	55897162
1681938669.4597967	1681938670.5167508	1.0569541454315186	339.0	576.0	55897425
1681938669.570579	1681938670.5610726	0.9904935359954834	338.0	576.0	55897433
1681938669.5984776	1681938670.5459461	0.9474685192108154	343.0	575.0	55897400
1681938669.6302032	1681938670.5519423	0.9217391014099121	332.0	576.0	55897393
1681938669.6582625	1681938670.547182	0.8889195919036865	352.0	579.0	55897412
1681938669.6934118	1681938670.5688224	0.8754105567932129	316.0	572.0	55897484
1681938669.8574607	1681938670.684862	0.8274011611938477	325.0	576.0	55897458
1681938669.8858874	1681938670.6538498	0.7679624557495117	329.0	573.0	55897546
1681938669.8961444	1681938670.7236712	0.8275268077850342	344.0	565.0	55897610
1681938669.8980992	1681938670.7356055	0.8375062942504883	331.0	572.0	55897561
1681938669.9002788	1681938670.7176783	0.8173995018005371	325.0	572.0	55897559
1681938669.9974463	1681938670.7752855	0.777839183807373	327.0	571.0	55897543
1681938670.5168064	1681938671.067729	0.5509226322174072	346.0	577.0	55897450
1681938670.5460334	1681938671.417754	0.871720552444458	297.0	468.0	55898543
1681938670.5472713	1681938671.3589694	0.8116981983184814	297.0	468.0	55898387
1681938670.552028	1681938671.6099226	1.0578947067260742	297.0	468.0	55898562
1681938670.5611572	1681938671.6083467	1.047189474105835	297.0	468.0	55898561
1681938670.5688806	1681938671.4798431	0.9109625816345215	297.0	468.0	55898416
1681938670.6539226	1681938671.4276237	0.7737011909484863	297.0	468.0	55898510
1681938670.684912	1681938671.420655	0.7357430458068848	297.0	468.0	55898487
1681938670.7177343	1681938671.3614318	0.6436975002288818	376.0	311.0	55900082
1681938670.723723	1681938671.546053	0.8223299980163574	257.0	376.0	55900191
1681938670.735665	1681938671.371103	0.6354379653930664	261.0	376.0	55900084
1681938670.7753925	1681938671.4029357	0.6275432109832764	376.0	286.0	55900188
1681938671.067786	1681938671.7059662	0.6381802558898926	376.0	286.0	55900190
1681938671.3590581	1681938672.4757917	1.1167335510253906	376.0	284.0	55900373
1681938671.361526	1681938673.5086582	2.147132158279419	376.0	304.0	55900330
1681938671.3711538	1681938672.1068711	0.7357172966003418	376.0	289.0	55900283
1681938671.4029965	1681938672.5300145	1.1270179748535156	262.0	376.0	55900333
1681938671.4178286	1681938672.5537786	1.1359500885009766	262.0	376.0	55900465
1681938671.420714	1681938672.4835684	1.062854528427124	376.0	280.0	55900463
1681938671.4276688	1681938672.2929788	0.8653099536895752	376.0	310.0	55901686
1681938671.4799318	1681938672.2305555	0.7506237030029297	376.0	328.0	55901709
1681938671.5460992	1681938672.2828083	0.7367091178894043	248.0	376.0	55901639
1681938671.6084192	1681938672.5954316	0.9870123863220215	248.0	376.0	55901710
1681938671.6099932	1681938672.2158165	0.605823278427124	376.0	303.0	55901640
1681938671.7060285	1681938672.4591234	0.7530949115753174	376.0	328.0	55901713
1681938672.1069312	1681938672.8230767	0.7161455154418945	376.0	328.0	55901712
1681938672.2158716	1681938672.9395475	0.7236759662628174	252.0	376.0	55901711
1681938672.2306051	1681938672.9867206	0.7561154365539551	376.0	306.0	55901810
1681938672.2828853	1681938673.015017	0.7321317195892334	308.0	484.0	55902153
1681938672.2930295	1681938673.2261536	0.9331240653991699	310.0	484.0	55902150
1681938672.459195	1681938673.2849903	0.8257954120635986	317.0	494.0	55902166
1681938672.4758573	1681938673.3647656	0.8889083862304688	320.0	496.0	55902094
1681938672.4836216	1681938673.1191566	0.6355350017547607	309.0	484.0	55902105
1681938672.5300653	1681938673.1839797	0.6539144515991211	308.0	483.0	55902046
1681938672.5538344	1681938673.3440619	0.7902274131774902	310.0	484.0	55902124
1681938672.5955033	1681938673.4393055	0.8438022136688232	202.0	255.0	55906689
1681938672.8231366	1681938673.4210875	0.5979509353637695	202.0	189.0	55906695
1681938672.9396126	1681938673.6860347	0.7464220523834229	227.0	174.0	55906693
1681938672.9867759	1681938673.5855443	0.5987684726715088	202.0	195.0	55906706
1681938673.0150602	1681938673.6794863	0.6644260883331299	239.0	203.0	55906698
1681938673.1192234	1681938673.729674	0.6104507446289062	202.0	257.0	55906688
1681938673.1840408	1681938673.8089082	0.6248674392700195	226.0	173.0	55906674
1681938673.226215	1681938673.8242316	0.5980167388916016	202.0	253.0	55906668
1681938673.285043	1681938674.300129	1.0150859355926514	376.0	258.0	55906900
1681938673.3441093	1681938674.0294883	0.6853790283203125	376.0	265.0	55906806
1681938673.364821	1681938674.1770887	0.8122677803039551	276.0	376.0	55906804
1681938673.4211533	1681938674.1673355	0.7461822032928467	276.0	376.0	55906901
1681938673.4393578	1681938674.0280066	0.588648796081543	376.0	265.0	55906808
1681938673.5087278	1681938674.298914	0.7901861667633057	327.0	575.0	55907258
1681938673.5855846	1681938674.3355052	0.7499206066131592	325.0	579.0	55907239
1681938673.6795568	1681938674.456568	0.7770111560821533	326.0	575.0	55907251
