MaterialTypeName,TitleID,FullTitle,ItemURL,HoldingInstitution,NumPages
Language material,162237,"Weston Nurseries, 1933 [& 1934]",https://www.biodiversitylibrary.org/item/271356,"U.S. Department of Agriculture, National Agricultural Library",38
Language material,162977,"Irises, [1935]",https://www.biodiversitylibrary.org/item/272386,"U.S. Department of Agriculture, National Agricultural Library",6
Language material,163359,[A. Miller & Co. aquatic plant price list],https://www.biodiversitylibrary.org/item/272865,"U.S. Department of Agriculture, National Agricultural Library",6
Language material,163764,Nelkenblaettercharte vom jahre 1831,https://www.biodiversitylibrary.org/item/273425,"U.S. Department of Agriculture, National Agricultural Library",68
Language material,163979,"A few field notes : January 5, 1935",https://www.biodiversitylibrary.org/item/273646,"U.S. Department of Agriculture, National Agricultural Library",10
Language material,164104,Field notes on birds observed in Dakota and Montana along the forty-ninth parallel during the seasons of 1873 and 1874,https://www.biodiversitylibrary.org/item/273803,National Library of Medicine (archive.org),366
Language material,164685,Flora Antarctica,https://www.biodiversitylibrary.org/item/274445,Harvard University Botany Libraries,16
Language material,164735,"Dahlias of quality and distinction and gladiolus, [1936]",https://www.biodiversitylibrary.org/item/274508,"U.S. Department of Agriculture, National Agricultural Library",12
Language material,164839,"Minnesota grown gladiolus bulbs prepaid price list, [1936]",https://www.biodiversitylibrary.org/item/274622,"U.S. Department of Agriculture, National Agricultural Library",6
Language material,165019,"Irises, [1936]",https://www.biodiversitylibrary.org/item/274853,"U.S. Department of Agriculture, National Agricultural Library",6
Language material,165174,[1936] Derring-Do dahlias,https://www.biodiversitylibrary.org/item/275103,"U.S. Department of Agriculture, National Agricultural Library",14
Language material,165247,Offer of the following tuberous begonia for delivery in January and February 1936,https://www.biodiversitylibrary.org/item/275215,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,165671,"Summerville Floral Nursery price list, 1936[-37]",https://www.biodiversitylibrary.org/item/275753,"U.S. Department of Agriculture, National Agricultural Library",12
Language material,165749,"Lily bulbs for sale by C.L. Shride, Vashon, Wash",https://www.biodiversitylibrary.org/item/275833,"U.S. Department of Agriculture, National Agricultural Library",4
Language material,165850,Contract price list : vegetable seeds : season of [1936],https://www.biodiversitylibrary.org/item/275939,"U.S. Department of Agriculture, National Agricultural Library",6
Language material,165855,Price list,https://www.biodiversitylibrary.org/item/275944,"U.S. Department of Agriculture, National Agricultural Library",6
Language material,166609,"Sunnyside Dahlia Garden, [1937]",https://www.biodiversitylibrary.org/item/277169,"U.S. Department of Agriculture, National Agricultural Library",14
Language material,168048,"Cactus, succulents, odd, rare and decorative plants : trade price list",https://www.biodiversitylibrary.org/item/279249,"U.S. Department of Agriculture, National Agricultural Library",10
Language material,168178,Contract price list : vegetable seeds : season of [1937],https://www.biodiversitylibrary.org/item/279393,"U.S. Department of Agriculture, National Agricultural Library",6
Language material,168363,"""Names of principal local plants whose seeds I may collect upon request"" ... : [correspondence Feb. 11, 1937, with the] U.S. Department of Agriculture, Washington, D.C",https://www.biodiversitylibrary.org/item/279716,"U.S. Department of Agriculture, National Agricultural Library",4
